               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097254,            0.028827,              0.0566,           0.0073574,                   1,              0.1158,            0.033386,            0.061266,            0.022639,             0.05281,             0.07038,           0.0032911,           0.0032911
                   1,            0.066686,            0.022916,            0.048678,             0.29638,             0.41608,             0.41668,             0.14209,            0.048221,            0.016471,            0.044088,            0.040314,           0.0065589,           0.0065589
                   2,            0.063557,            0.017113,            0.042446,             0.52637,             0.57702,             0.49487,             0.19894,            0.045991,            0.012918,            0.036119,            0.010183,           0.0097606,           0.0097606
                   3,            0.055845,            0.014511,             0.03534,             0.69713,              0.6054,             0.73678,              0.3649,            0.040336,            0.012315,            0.035722,            0.009703,            0.009703,            0.009703
                   4,            0.050813,            0.013642,            0.026591,             0.55531,             0.84339,             0.73768,             0.38862,             0.03788,            0.010179,            0.026137,            0.009703,            0.009703,            0.009703
                   5,             0.04519,            0.012518,            0.020752,             0.68266,             0.70858,             0.76565,             0.40836,            0.042752,            0.010142,            0.024762,            0.009604,            0.009604,            0.009604
                   6,            0.043645,            0.012629,            0.016024,              0.7666,             0.80103,             0.79986,             0.35876,            0.044532,           0.0098427,            0.019972,            0.009505,            0.009505,            0.009505
                   7,            0.043358,            0.011591,            0.013249,             0.78126,             0.70248,             0.79841,             0.47007,            0.032857,           0.0095856,            0.023745,            0.009406,            0.009406,            0.009406
                   8,            0.040351,            0.012124,            0.011493,             0.80549,             0.71538,             0.84887,             0.49839,            0.031054,           0.0095599,            0.018255,            0.009307,            0.009307,            0.009307
                   9,            0.040215,            0.011799,            0.009561,             0.91575,             0.77115,             0.89243,             0.42031,            0.038997,            0.010251,            0.023132,            0.009208,            0.009208,            0.009208
                  10,             0.03764,            0.011452,           0.0084085,             0.86721,             0.81401,             0.86233,             0.52007,            0.033381,           0.0088767,             0.01536,            0.009109,            0.009109,            0.009109
                  11,            0.038024,            0.011249,           0.0070404,             0.75812,             0.80155,             0.87197,              0.4805,            0.033144,           0.0088064,            0.016643,             0.00901,             0.00901,             0.00901
                  12,             0.03792,            0.011088,            0.007275,             0.79445,             0.88576,             0.93262,             0.56704,            0.032575,           0.0089507,            0.012575,            0.008911,            0.008911,            0.008911
                  13,            0.036043,            0.010934,           0.0065191,             0.89411,             0.85422,             0.94099,             0.52423,            0.034733,           0.0087256,           0.0087577,            0.008812,            0.008812,            0.008812
                  14,            0.034345,            0.010551,           0.0059447,             0.93971,             0.79877,             0.92101,             0.55666,             0.03055,           0.0086972,            0.010543,            0.008713,            0.008713,            0.008713
                  15,            0.034557,            0.010615,           0.0055694,             0.92261,             0.84867,             0.93725,             0.59566,            0.030206,           0.0087282,            0.010329,            0.008614,            0.008614,            0.008614
                  16,            0.034035,            0.010434,           0.0050522,             0.79133,             0.86902,             0.91791,             0.56431,            0.029422,           0.0089766,            0.014766,            0.008515,            0.008515,            0.008515
                  17,             0.03247,            0.010127,           0.0046863,             0.90036,             0.79537,             0.92049,             0.53092,             0.03154,           0.0082946,            0.014034,            0.008416,            0.008416,            0.008416
